Symbol;reqID;Date;Open;High;Low;Close;Volume
FAMI;1;2022-11-02 18:55:00;0.5815;0.5815;0.5815;0.5815;0
FAMI;1;2022-11-02 19:00:00;0.5815;0.5815;0.58;0.58;600
FAMI;1;2022-11-02 19:05:00;0.58;0.58;0.58;0.58;0
FAMI;1;2022-11-02 19:10:00;0.5802;0.5802;0.5802;0.5802;200
FAMI;1;2022-11-02 19:15:00;0.58;0.58;0.58;0.58;100
FAMI;1;2022-11-02 19:20:00;0.58;0.58;0.58;0.58;0
FAMI;1;2022-11-02 19:25:00;0.58;0.58;0.57;0.57;2600
FAMI;1;2022-11-02 19:30:00;0.5856;0.5857;0.5856;0.5857;500
FAMI;1;2022-11-02 19:35:00;0.5857;0.5857;0.5828;0.5828;2000
FAMI;1;2022-11-02 19:40:00;0.5857;0.5857;0.58;0.5801;1200
FAMI;1;2022-11-02 19:45:00;0.57;0.5797;0.57;0.5701;3400
FAMI;1;2022-11-02 19:50:00;0.5748;0.5748;0.5748;0.5748;100
FAMI;1;2022-11-02 19:55:00;0.5797;0.585;0.5701;0.585;8800
